url,month,year,mmyy,filename,downloaded,download_time
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/AUGUST2021%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,AUGUST,2021,2021-08-31,/Users/tiangeng/Documents/Python Files/niv/niv_2021-08-31.pdf,True,"2023-06-23, Friday, 23:41:37"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/SEPTEMBER2021%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,SEPTEMBER,2021,2021-09-30,/Users/tiangeng/Documents/Python Files/niv/niv_2021-09-30.pdf,True,"2023-06-23, Friday, 23:41:47"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/OCTOBER2021%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,OCTOBER,2021,2021-10-31,/Users/tiangeng/Documents/Python Files/niv/niv_2021-10-31.pdf,True,"2023-06-23, Friday, 23:41:56"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/NOVEMBER2021%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,NOVEMBER,2021,2021-11-30,/Users/tiangeng/Documents/Python Files/niv/niv_2021-11-30.pdf,True,"2023-06-23, Friday, 23:42:08"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/DECEMBER2021%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,DECEMBER,2021,2021-12-31,/Users/tiangeng/Documents/Python Files/niv/niv_2021-12-31.pdf,True,"2023-06-23, Friday, 23:42:15"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JANUARY2022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JANUARY,2022,2022-01-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-01-31.pdf,True,"2023-06-23, Friday, 23:42:28"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/FEBRUARY%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,FEBRUARY,2022,2022-02-28,/Users/tiangeng/Documents/Python Files/niv/niv_2022-02-28.pdf,True,"2023-06-23, Friday, 23:42:35"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MARCH%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MARCH,2022,2022-03-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-03-31.pdf,True,"2023-06-23, Friday, 23:42:48"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/APRIL%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,APRIL,2022,2022-04-30,/Users/tiangeng/Documents/Python Files/niv/niv_2022-04-30.pdf,True,"2023-06-23, Friday, 23:42:58"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MAY%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MAY,2022,2022-05-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-05-31.pdf,True,"2023-06-23, Friday, 23:43:11"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JUNE%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JUNE,2022,2022-06-30,/Users/tiangeng/Documents/Python Files/niv/niv_2022-06-30.pdf,True,"2023-06-23, Friday, 23:43:22"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JULY%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JULY,2022,2022-07-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-07-31.pdf,True,"2023-06-23, Friday, 23:43:29"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/AUGUST%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,AUGUST,2022,2022-08-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-08-31.pdf,True,"2023-06-23, Friday, 23:43:41"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/SEPTEMBER%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,SEPTEMBER,2022,2022-09-30,/Users/tiangeng/Documents/Python Files/niv/niv_2022-09-30.pdf,True,"2023-06-23, Friday, 23:43:57"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/OCTOBER%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,OCTOBER,2022,2022-10-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-10-31.pdf,True,"2023-06-23, Friday, 23:44:12"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/NOVEMBER%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,NOVEMBER,2022,2022-11-30,/Users/tiangeng/Documents/Python Files/niv/niv_2022-11-30.pdf,True,"2023-06-23, Friday, 23:44:21"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/DECEMBER%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,DECEMBER,2022,2022-12-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-12-31.pdf,True,"2023-06-23, Friday, 23:44:33"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JANUARY%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JANUARY,2023,2023-01-31,/Users/tiangeng/Documents/Python Files/niv/niv_2023-01-31.pdf,True,"2023-06-23, Friday, 23:44:52"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/FEBRUARY%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,FEBRUARY,2023,2023-02-28,/Users/tiangeng/Documents/Python Files/niv/niv_2023-02-28.pdf,True,"2023-06-23, Friday, 23:45:04"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MARCH%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MARCH,2023,2023-03-31,/Users/tiangeng/Documents/Python Files/niv/niv_2023-03-31.pdf,True,"2023-06-23, Friday, 23:45:11"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/APRIL%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,APRIL,2023,2023-04-30,/Users/tiangeng/Documents/Python Files/niv/niv_2023-04-30.pdf,True,"2023-06-23, Friday, 23:45:17"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MAY%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MAY,2023,2023-05-31,/Users/tiangeng/Documents/Python Files/niv/niv_2023-05-31.pdf,True,"2023-06-28, Wednesday, 00:07:22"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JUNE%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JUNE,2023,2023-06-30,/Users/tiangeng/Documents/Python Files/niv/niv_2023-06-30.pdf,True,"2023-07-30, Sunday, 22:18:31"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JULY%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JULY,2023,2023-07-31,/Users/tiangeng/Documents/Python Files/niv/niv_2023-07-31.pdf,True,"2023-09-01, Friday, 17:27:32"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/AUGUST%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,AUGUST,2023,2023-08-31,/Users/tiangeng/Documents/Python Files/niv/niv_2023-08-31.pdf,True,"2023-10-27, Friday, 20:11:38"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/SEPTEMBER%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,SEPTEMBER,2023,2023-09-30,/Users/tiangeng/Documents/Python Files/niv/niv_2023-09-30.pdf,True,"2023-10-27, Friday, 20:11:38"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/OCTOBER%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,OCTOBER,2023,2023-10-31,/Users/tiangeng/Documents/python_files/niv/niv_2023-10-31.pdf,True,"2024-03-03, Sunday, 01:53:38"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/NOVEMBER%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,NOVEMBER,2023,2023-11-30,/Users/tiangeng/Documents/python_files/niv/niv_2023-11-30.pdf,True,"2024-03-03, Sunday, 01:53:38"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/DECEMBER%202023%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,DECEMBER,2023,2023-12-31,/Users/tiangeng/Documents/python_files/niv/niv_2023-12-31.pdf,True,"2024-03-03, Sunday, 01:53:37"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JANUARY%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JANUARY,2024,2024-01-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-01-31.pdf,True,"2024-03-03, Sunday, 01:53:39"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/FEBRUARY%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,FEBRUARY,2024,2024-02-29,/Users/tiangeng/Documents/python_files/niv/niv_2024-02-29.pdf,True,"2024-10-16, Wednesday, 23:03:08"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MARCH%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MARCH,2024,2024-03-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-03-31.pdf,True,"2024-10-16, Wednesday, 23:03:09"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MARCH%202024%20%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MARCH,2024,2024-03-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-03-31.pdf,True,"2024-10-16, Wednesday, 23:03:09"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/APRIL%202024%20%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,APRIL,2024,2024-04-30,/Users/tiangeng/Documents/python_files/niv/niv_2024-04-30.pdf,True,"2024-10-16, Wednesday, 23:03:07"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/APRIL%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,APRIL,2024,2024-04-30,/Users/tiangeng/Documents/python_files/niv/niv_2024-04-30.pdf,True,"2024-10-16, Wednesday, 23:03:07"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MAY%202024%20%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MAY,2024,2024-05-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-05-31.pdf,True,"2024-10-16, Wednesday, 23:03:08"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MAY%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MAY,2024,2024-05-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-05-31.pdf,True,"2024-10-16, Wednesday, 23:03:08"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JUNE%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JUNE,2024,2024-06-30,/Users/tiangeng/Documents/python_files/niv/niv_2024-06-30.pdf,True,"2024-10-16, Wednesday, 23:03:06"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JUNE%202024%20%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JUNE,2024,2024-06-30,/Users/tiangeng/Documents/python_files/niv/niv_2024-06-30.pdf,True,"2024-10-16, Wednesday, 23:03:06"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JULY%202024%20%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JULY,2024,2024-07-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-07-31.pdf,True,"2024-10-16, Wednesday, 23:03:09"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JULY%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JULY,2024,2024-07-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-07-31.pdf,True,"2024-10-16, Wednesday, 23:03:09"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/AUGUST%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,AUGUST,2024,2024-08-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-08-31.pdf,True,"2024-10-16, Wednesday, 23:03:07"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/AUGUST%202024%20%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,AUGUST,2024,2024-08-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-08-31.pdf,True,"2024-10-16, Wednesday, 23:03:07"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/SEPTEMBER%202024%20%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,SEPTEMBER,2024,2024-09-30,/Users/tiangeng/Documents/python_files/niv/niv_2024-09-30.pdf,True,"2025-01-12, Sunday, 14:01:32"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/SEPTEMBER%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,SEPTEMBER,2024,2024-09-30,/Users/tiangeng/Documents/python_files/niv/niv_2024-09-30.pdf,True,"2025-01-12, Sunday, 14:01:32"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/OCTOBER%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,OCTOBER,2024,2024-10-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-10-31.pdf,True,"2025-01-12, Sunday, 14:01:32"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/NOVEMBER%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,NOVEMBER,2024,2024-11-30,/Users/tiangeng/Documents/python_files/niv/niv_2024-11-30.pdf,True,"2025-03-13, Thursday, 20:56:27"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/DECEMBER%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,DECEMBER,2024,2024-12-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-12-31.pdf,True,"2025-03-13, Thursday, 20:56:28"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JANUARY%202025%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JANUARY,2025,2025-01-31,/Users/tiangeng/Documents/python_files/niv/niv_2025-01-31.pdf,True,"2025-03-13, Thursday, 20:56:25"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/FEBRUARY%202025%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,FEBRUARY,2025,2025-02-28,/Users/tiangeng/Documents/python_files/niv/niv_2025-02-28.pdf,True,"2025-04-08, Tuesday, 15:37:07"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MARCH%202025%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MARCH,2025,2025-03-31,/Users/tiangeng/Documents/python_files/niv/niv_2025-03-31.pdf,True,"2025-07-03, Thursday, 11:50:07"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/APRIL%202025%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,APRIL,2025,2025-04-30,/Users/tiangeng/Documents/python_files/niv/niv_2025-04-30.pdf,True,"2025-07-03, Thursday, 11:50:01"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MAY%202025%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MAY,2025,2025-05-31,/Users/tiangeng/Documents/python_files/niv/niv_2025-05-31.pdf,True,"2025-07-03, Thursday, 11:49:47"
